Arquivo TXT com os dados
**********************************************************************
DATA			 QTD t	 VALOR 		 TOTAL 			 PRODUTO 
2021-03-20        9       58.24       524.17        Produto 2
2021-03-20        11       30.09       330.99        Produto 9
2021-03-20        25       44.98       1124.43        Produto 12
2021-03-20        28       59.08       1654.12        Produto 10
2021-03-20        6       27.17       163.0        Produto 1
2021-03-20        16       66.11       1057.8        Produto 12
2021-03-20        27       13.3       359.1        Produto 8
2021-03-20        22       25.59       562.88        Produto 9
2021-03-20        5       26.8       134.01        Produto 4
2021-03-20        13       68.93       896.03        Produto 7
2021-03-20        16       50.34       805.36        Produto 4
2021-03-20        26       64.95       1688.57        Produto 4
2021-03-20        29       70.25       2037.38        Produto 9
2021-03-20        22       69.74       1534.28        Produto 11
2021-03-20        13       54.17       704.2        Produto 7
2021-03-20        7       35.08       245.58        Produto 11
2021-03-20        29       23.67       686.39        Produto 9
2021-03-20        24       12.52       300.47        Produto 1
2021-03-20        20       8.74       174.75        Produto 12
2021-03-20        21       7.44       156.18        Produto 12
2021-03-20        16       62.82       1005.17        Produto 12
2021-03-20        12       60.44       725.25        Produto 4
2021-03-20        17       13.68       232.55        Produto 12
2021-03-20        12       43.0       515.97        Produto 2
2021-03-20        19       35.11       667.12        Produto 9
2021-03-20        22       18.02       396.52        Produto 6
2021-03-20        14       31.26       437.62        Produto 2
2021-03-20        6       35.54       213.21        Produto 10
2021-03-20        3       16.7       50.11        Produto 3
2021-03-20        21       11.57       243.04        Produto 7
2021-03-21        5       10.35       51.73        Produto 4
2021-03-21        29       35.08       1017.36        Produto 11
2021-03-21        12       50.13       601.53        Produto 11
2021-03-21        16       23.61       377.82        Produto 9
2021-03-21        20       52.72       1054.34        Produto 11
2021-03-21        11       13.39       147.32        Produto 5
2021-03-21        28       34.62       969.33        Produto 3
2021-03-21        19       55.18       1048.48        Produto 2
2021-03-21        23       41.92       964.21        Produto 12
2021-03-21        15       34.62       519.27        Produto 2
2021-03-21        9       44.07       396.6        Produto 11
2021-03-21        25       44.01       1100.16        Produto 10
2021-03-21        15       9.47       142.04        Produto 7
2021-03-21        11       30.85       339.39        Produto 7
2021-03-21        1       58.32       58.32        Produto 3
2021-03-21        25       61.81       1545.3        Produto 10
2021-03-21        22       63.12       1388.61        Produto 6
2021-03-21        17       30.08       511.37        Produto 6
2021-03-21        1       41.36       41.36        Produto 8
2021-03-21        10       25.4       253.98        Produto 6
2021-03-21        21       24.69       518.47        Produto 12
2021-03-21        18       30.41       547.39        Produto 9
2021-03-21        13       47.74       620.68        Produto 1
2021-03-21        2       46.04       92.08        Produto 8
2021-03-21        11       39.52       434.76        Produto 2
2021-03-21        18       55.78       1004.06        Produto 4
2021-03-21        17       25.22       428.73        Produto 4
2021-03-21        23       30.77       707.74        Produto 12
2021-03-21        20       12.15       242.95        Produto 6
2021-03-21        21       67.79       1423.69        Produto 9
2021-03-22        10       42.77       427.65        Produto 12
2021-03-22        6       42.78       256.65        Produto 1
2021-03-22        11       31.54       346.98        Produto 9
2021-03-22        17       57.89       984.13        Produto 2
2021-03-22        15       60.59       908.82        Produto 1
2021-03-22        20       69.32       1386.39        Produto 12
2021-03-22        12       58.6       703.2        Produto 7
2021-03-22        13       66.63       866.14        Produto 8
2021-03-22        26       29.62       770.16        Produto 4
2021-03-22        2       27.88       55.76        Produto 4
2021-03-22        24       21.72       521.26        Produto 7
2021-03-22        12       23.3       279.66        Produto 3
2021-03-22        5       25.49       127.45        Produto 8
2021-03-22        11       7.55       83.07        Produto 10
2021-03-22        28       50.83       1423.17        Produto 4
2021-03-22        15       65.13       976.96        Produto 3
2021-03-22        3       27.06       81.17        Produto 2
2021-03-22        7       36.96       258.69        Produto 8
2021-03-22        16       26.99       431.86        Produto 2
2021-03-22        21       28.86       606.08        Produto 11
2021-03-22        11       13.56       149.15        Produto 4
2021-03-22        21       18.82       395.21        Produto 2
2021-03-22        2       33.98       67.97        Produto 6
2021-03-22        28       48.54       1359.26        Produto 9
2021-03-22        1       66.28       66.28        Produto 5
2021-03-22        29       4.61       133.55        Produto 8
2021-03-22        3       6.8       20.4        Produto 4
2021-03-22        29       61.47       1782.65        Produto 11
2021-03-22        17       11.18       190.11        Produto 8
2021-03-22        8       14.71       117.71        Produto 12
2021-03-23        25       69.58       1739.54        Produto 8
2021-03-23        6       9.23       55.36        Produto 6
2021-03-23        1       66.43       66.43        Produto 10
2021-03-23        18       9.31       167.49        Produto 5
2021-03-23        24       53.83       1291.96        Produto 1
2021-03-23        4       34.77       139.07        Produto 12
2021-03-23        27       66.82       1804.2        Produto 4
2021-03-23        23       26.66       613.07        Produto 5
2021-03-23        25       58.02       1450.39        Produto 11
2021-03-23        26       8.66       225.14        Produto 4
2021-03-23        26       63.82       1659.41        Produto 6
2021-03-23        28       17.66       494.57        Produto 1
2021-03-23        7       28.92       202.42        Produto 2
2021-03-23        1       69.25       69.25        Produto 12
2021-03-23        25       50.21       1255.29        Produto 2
2021-03-23        5       70.15       350.77        Produto 11
2021-03-23        27       46.79       1263.28        Produto 8
2021-03-23        22       38.56       848.31        Produto 2
2021-03-23        2       30.16       60.31        Produto 12
2021-03-23        9       16.94       152.42        Produto 9
2021-03-23        18       55.5       998.98        Produto 12
2021-03-23        28       27.96       782.85        Produto 12
2021-03-23        29       9.62       279.07        Produto 7
2021-03-23        9       51.72       465.5        Produto 10
2021-03-23        24       24.42       586.17        Produto 6
2021-03-23        16       63.03       1008.5        Produto 3
2021-03-23        7       4.93       34.48        Produto 3
2021-03-23        1       37.78       37.78        Produto 9
2021-03-23        2       40.79       81.58        Produto 8
2021-03-23        29       22.57       654.64        Produto 5
