id,produto,quantidade,valor,total,vendido_em
1,Produto 7,9,38.67,348.01,2021-03-20
2,Produto 6,18,7.38,132.91,2021-03-20
3,Produto 7,8,46.88,375.01,2021-03-20
4,Produto 1,15,39.31,589.59,2021-03-20
5,Produto 8,2,53.28,106.55,2021-03-20
6,Produto 6,20,16.39,327.83,2021-03-20
7,Produto 7,21,51.46,1080.58,2021-03-20
8,Produto 4,28,65.93,1846.18,2021-03-20
9,Produto 11,19,31.89,605.95,2021-03-20
10,Produto 7,25,17.21,430.34,2021-03-20
11,Produto 2,4,55.14,220.57,2021-03-20
12,Produto 9,18,18.36,330.41,2021-03-20
13,Produto 6,15,49.42,741.34,2021-03-20
14,Produto 9,10,33.39,333.87,2021-03-20
15,Produto 5,11,17.47,192.14,2021-03-20
16,Produto 7,20,51.6,1031.99,2021-03-20
17,Produto 2,29,66.61,1931.7,2021-03-20
18,Produto 2,9,45.69,411.2,2021-03-20
19,Produto 8,10,49.71,497.1,2021-03-20
20,Produto 5,29,51.9,1505.09,2021-03-20
21,Produto 4,22,58.0,1276.01,2021-03-21
22,Produto 5,8,23.63,189.06,2021-03-21
23,Produto 9,6,51.48,308.86,2021-03-21
24,Produto 12,14,57.04,798.62,2021-03-21
25,Produto 11,8,16.7,133.59,2021-03-21
26,Produto 5,17,66.64,1132.85,2021-03-21
27,Produto 4,15,56.13,841.88,2021-03-21
28,Produto 3,5,17.37,86.84,2021-03-21
29,Produto 12,10,59.5,594.97,2021-03-21
30,Produto 8,26,37.89,985.05,2021-03-21
31,Produto 11,23,6.87,158.02,2021-03-21
32,Produto 11,20,45.18,903.62,2021-03-21
33,Produto 8,24,19.35,464.39,2021-03-21
34,Produto 1,20,32.81,656.24,2021-03-21
35,Produto 11,15,29.99,449.79,2021-03-21
36,Produto 7,11,34.85,383.36,2021-03-21
37,Produto 5,10,17.47,174.7,2021-03-21
38,Produto 7,22,4.51,99.18,2021-03-21
39,Produto 12,3,44.4,133.2,2021-03-21
40,Produto 4,1,52.74,52.74,2021-03-21
41,Produto 3,25,51.44,1286.02,2021-03-22
42,Produto 8,2,53.83,107.65,2021-03-22
43,Produto 4,23,5.48,126.12,2021-03-22
44,Produto 1,1,19.28,19.28,2021-03-22
45,Produto 1,6,11.29,67.74,2021-03-22
46,Produto 10,21,70.32,1476.72,2021-03-22
47,Produto 3,13,48.62,632.07,2021-03-22
48,Produto 10,7,25.83,180.8,2021-03-22
49,Produto 5,3,15.27,45.81,2021-03-22
50,Produto 12,1,7.59,7.59,2021-03-22
51,Produto 1,1,34.51,34.51,2021-03-22
52,Produto 11,7,40.94,286.56,2021-03-22
53,Produto 8,23,47.88,1101.26,2021-03-22
54,Produto 11,27,48.88,1319.83,2021-03-22
55,Produto 12,17,45.85,779.38,2021-03-22
56,Produto 8,14,69.02,966.33,2021-03-22
57,Produto 11,17,4.81,81.84,2021-03-22
58,Produto 4,20,61.11,1222.16,2021-03-22
59,Produto 12,27,55.8,1506.53,2021-03-22
60,Produto 10,10,61.63,616.3,2021-03-22
61,Produto 5,4,45.04,180.14,2021-03-23
62,Produto 9,9,45.81,412.33,2021-03-23
63,Produto 12,5,48.14,240.7,2021-03-23
64,Produto 6,4,51.43,205.72,2021-03-23
65,Produto 1,3,61.46,184.39,2021-03-23
66,Produto 10,7,37.37,261.59,2021-03-23
67,Produto 10,28,52.99,1483.63,2021-03-23
68,Produto 11,26,38.36,997.3,2021-03-23
69,Produto 9,8,57.34,458.7,2021-03-23
70,Produto 6,23,38.87,894.04,2021-03-23
71,Produto 8,22,9.92,218.17,2021-03-23
72,Produto 1,11,53.02,583.19,2021-03-23
73,Produto 3,8,58.63,469.06,2021-03-23
74,Produto 5,20,53.53,1070.56,2021-03-23
75,Produto 8,13,24.61,319.91,2021-03-23
76,Produto 12,7,49.73,348.11,2021-03-23
77,Produto 7,4,9.47,37.87,2021-03-23
78,Produto 4,4,60.51,242.06,2021-03-23
79,Produto 6,15,30.39,455.82,2021-03-23
80,Produto 6,5,25.12,125.62,2021-03-23
