Arquivo TXT com os dados
*******************************************************
DATA			 PRODUTO 			 TOTAL 
2021-03-20        Produto 2       524.17
2021-03-20        Produto 9       330.99
2021-03-20        Produto 12       1124.43
2021-03-20        Produto 10       1654.12
2021-03-20        Produto 1       163.0
2021-03-20        Produto 12       1057.8
2021-03-20        Produto 8       359.1
2021-03-20        Produto 9       562.88
2021-03-20        Produto 4       134.01
2021-03-20        Produto 7       896.03
2021-03-20        Produto 4       805.36
2021-03-20        Produto 4       1688.57
2021-03-20        Produto 9       2037.38
2021-03-20        Produto 11       1534.28
2021-03-20        Produto 7       704.2
2021-03-20        Produto 11       245.58
2021-03-20        Produto 9       686.39
2021-03-20        Produto 1       300.47
2021-03-20        Produto 12       174.75
2021-03-20        Produto 12       156.18
2021-03-20        Produto 12       1005.17
2021-03-20        Produto 4       725.25
2021-03-20        Produto 12       232.55
2021-03-20        Produto 2       515.97
2021-03-20        Produto 9       667.12
2021-03-20        Produto 6       396.52
2021-03-20        Produto 2       437.62
2021-03-20        Produto 10       213.21
2021-03-20        Produto 3       50.11
2021-03-20        Produto 7       243.04
2021-03-21        Produto 4       51.73
2021-03-21        Produto 11       1017.36
2021-03-21        Produto 11       601.53
2021-03-21        Produto 9       377.82
2021-03-21        Produto 11       1054.34
2021-03-21        Produto 5       147.32
2021-03-21        Produto 3       969.33
2021-03-21        Produto 2       1048.48
2021-03-21        Produto 12       964.21
2021-03-21        Produto 2       519.27
2021-03-21        Produto 11       396.6
2021-03-21        Produto 10       1100.16
2021-03-21        Produto 7       142.04
2021-03-21        Produto 7       339.39
2021-03-21        Produto 3       58.32
2021-03-21        Produto 10       1545.3
2021-03-21        Produto 6       1388.61
2021-03-21        Produto 6       511.37
2021-03-21        Produto 8       41.36
2021-03-21        Produto 6       253.98
2021-03-21        Produto 12       518.47
2021-03-21        Produto 9       547.39
2021-03-21        Produto 1       620.68
2021-03-21        Produto 8       92.08
2021-03-21        Produto 2       434.76
2021-03-21        Produto 4       1004.06
2021-03-21        Produto 4       428.73
2021-03-21        Produto 12       707.74
2021-03-21        Produto 6       242.95
2021-03-21        Produto 9       1423.69
2021-03-22        Produto 12       427.65
2021-03-22        Produto 1       256.65
2021-03-22        Produto 9       346.98
2021-03-22        Produto 2       984.13
2021-03-22        Produto 1       908.82
2021-03-22        Produto 12       1386.39
2021-03-22        Produto 7       703.2
2021-03-22        Produto 8       866.14
2021-03-22        Produto 4       770.16
2021-03-22        Produto 4       55.76
2021-03-22        Produto 7       521.26
2021-03-22        Produto 3       279.66
2021-03-22        Produto 8       127.45
2021-03-22        Produto 10       83.07
2021-03-22        Produto 4       1423.17
2021-03-22        Produto 3       976.96
2021-03-22        Produto 2       81.17
2021-03-22        Produto 8       258.69
2021-03-22        Produto 2       431.86
2021-03-22        Produto 11       606.08
2021-03-22        Produto 4       149.15
2021-03-22        Produto 2       395.21
2021-03-22        Produto 6       67.97
2021-03-22        Produto 9       1359.26
2021-03-22        Produto 5       66.28
2021-03-22        Produto 8       133.55
2021-03-22        Produto 4       20.4
2021-03-22        Produto 11       1782.65
2021-03-22        Produto 8       190.11
2021-03-22        Produto 12       117.71
2021-03-23        Produto 8       1739.54
2021-03-23        Produto 6       55.36
2021-03-23        Produto 10       66.43
2021-03-23        Produto 5       167.49
2021-03-23        Produto 1       1291.96
2021-03-23        Produto 12       139.07
2021-03-23        Produto 4       1804.2
2021-03-23        Produto 5       613.07
2021-03-23        Produto 11       1450.39
2021-03-23        Produto 4       225.14
2021-03-23        Produto 6       1659.41
2021-03-23        Produto 1       494.57
2021-03-23        Produto 2       202.42
2021-03-23        Produto 12       69.25
2021-03-23        Produto 2       1255.29
2021-03-23        Produto 11       350.77
2021-03-23        Produto 8       1263.28
2021-03-23        Produto 2       848.31
2021-03-23        Produto 12       60.31
2021-03-23        Produto 9       152.42
2021-03-23        Produto 12       998.98
2021-03-23        Produto 12       782.85
2021-03-23        Produto 7       279.07
2021-03-23        Produto 10       465.5
2021-03-23        Produto 6       586.17
2021-03-23        Produto 3       1008.5
2021-03-23        Produto 3       34.48
2021-03-23        Produto 9       37.78
2021-03-23        Produto 8       81.58
2021-03-23        Produto 5       654.64
